"Nurture Quest: ID","Nurture Quest: Quest Title","Start Date","Archived Date","Language","Status","Producer","Nurture Quest: Owner Name","Program","Country"
"a0S7y000001aKUH","ISV Partner Recruitment and Education - Canada","7/15/2024","","English","Active","Melissa Dryer","Kelly O'Malley","Marketing Cloud (Email)","Canada"
"a0S7y0000022NXF","ConsensusQ | FINS | Cross Sector | Agentforce | CA","10/17/2024","","English","Active","George Sayah","Valerie Le","Einstein AI","Canada"
"a0S7y000004Ii57","FY26 Sales Cloud - Agentforce for Sales - CANADA","4/21/2025","","English","Active","Natalie Melnick","Brindley Mize","Agentforce Sales","Canada"
"a0S7y000004kyLR","TS: DLP Main Nurture - CA","10/16/2025","","English","Active","Sara Miller","Andrea Vidal","Platform","Canada"
"a0S7y000006Ao1h","CAN Led CIO/IT Leader Nurture (Dec 2025)","11/10/2025","","English","Active","Hassan Khider","Oscar Vecchiarelli","Einstein AI","Canada"
"a0S7y000006DsdR","CA FY27 Retail Middle/Bottom of Funnel Nurture","11/11/2025","","English","Active","Hassan Khider","Oscar Vecchiarelli","Agentforce","Canada"
"a0S7y000006DuH3","CA FY27 Consumer Goods Middle/Bottom of Funnel Nurture","11/11/2025","","English","Active","Hassan Khider","Oscar Vecchiarelli","Agentforce","Canada"
"a0S7y000005avT8","Beyond Adoption Virtual AI Event Follow Up","12/3/2025","","English","Active","Hassan Khider","Oscar Vecchiarelli","Agentforce","Canada"
"a0S7y000005sIQ5","FY26Q4 Partner Cloud Nurture - General (CA)","1/6/2026","","English","Active","Ray Liang","Brindley Mize","Sales Cloud PRM","Canada"
"a0S7y0000065fgb","Post WT Toronto Jan 2026 Agentforce Nurture","1/20/2026","","English","Active","Hassan Khider","Oscar Vecchiarelli","Agentforce","Canada"
"a0S7y000006W4eX","CA FY27 Tech TOFU Nurture","3/2/2026","","English","Active","Hassan Khider","Oscar Vecchiarelli","Agentforce","Canada"
"a0S7y00000895Gn","FY27Q2_CA_GFM_Agentforce_Nurture_new-post-event-campaign--nurture","4/22/2026","","English","Active","Sian Desmond","Raluca Oltean-Revel","Agentforce","Canada"
"a0S7y000000WkcP","FY24 AWS re:Invent Post Event Send","12/6/2023","","English","Active","Setareh Fathi","Garrett Jordan","Platform","United States"
"a0S7y000001FtZt","NZC FY25 Top Funnel Email Nurture","6/4/2024","","English","Active","Natalie Melnick","Bridgitte Chan","Platform","United States"
"a0S7y0000014wPp","Pro Suite Prospect Trial_Crunchbase","6/18/2024","","English","Active","Hassan Khider","Jacob Hatcher","Sales Cloud Essentials","United States"
"a0S7y000001R1Yv","ISV Partner Recruitment and Education","7/15/2024","","English","Active","Melissa Dryer","Kelly O'Malley","Marketing Cloud (Email)","United States"
"a0S7y000001SR1V","NZC FY25 Bottom Funnel Email Nurture","7/17/2024","","English","Active","Natalie Melnick","Bridgitte Chan","Platform","United States"
